description,category
paid for spotify premium,entertainment
monthly goil fuel,transport
korle bu hospital payment,healthcare
monthly pharmacy,healthcare
paid for local restaurant,food
uber accra payment,transport
dstv subscription payment,entertainment
west hills mall,shopping
school fees payment,education
insurance premium,bills
monthly game stores,shopping
paid for insurance premium,bills
transport fare - 236 GHS,travel
nhis payment - 447 GHS,healthcare
silverbird cinema - 326 GHS,entertainment
uber accra payment,transport
monthly palace shopping,shopping
flight to kumasi payment,travel
vip transport - 111 GHS,transport
paid for knust tuition,education
paid for rent payment,bills
clothing payment,shopping
nhis payment payment,healthcare
paid for transport fare,travel
game stores - 462 GHS,shopping
medical checkup payment,healthcare
silverbird cinema - 202 GHS,entertainment
monthly dstv subscription,entertainment
ridge hospital,healthcare
game stores - 148 GHS,shopping
gotv payment,entertainment
monthly dstv subscription,entertainment
kotoka airport payment,travel
paid for textbook purchase,education
vip transport,transport
paid for ucc payment,education
taxi fare,transport
vacation expenses - 88 GHS,travel
palace shopping,shopping
knust tuition,education
fufu - 18 GHS,food
textbook purchase payment,education
paid for hotel booking,travel
shs bus - 60 GHS,transport
paid for makola market,shopping
monthly melcom snacks,food
hotel booking payment,travel
kfc accra - 107 GHS,food
monthly library fine,education
paid for clothing,shopping
total fuel,transport
library fine,education
shoprite food payment,food
paid for stationery,education
kotoka airport payment,travel
clothing,shopping
monthly gotv payment,entertainment
clinic visit payment,healthcare
metro mass - 307 GHS,transport
monthly tamale travel,travel
kenkey,food
monthly silverbird cinema,entertainment
goil fuel,transport
monthly shoprite,shopping
paid for flight to kumasi,travel
paid for netflix,entertainment
vodafone airtime,bills
west hills mall,shopping
legon fees payment,education
paid for mtn mobile money,bills
paid for west hills mall,shopping
monthly cape coast trip,travel
textbook purchase - 470 GHS,education
gwcl water - 69 GHS,bills
melcom - 67 GHS,shopping
monthly clinic visit,healthcare
monthly textbook purchase,education
dstv subscription payment,entertainment
monthly knust tuition,education
game stores payment,shopping
paid for shell petrol,transport
paid for trotro fare,transport
paid for shoprite,shopping
gotv payment - 241 GHS,entertainment
paid for knust tuition,education
monthly korle bu hospital,healthcare
ridge hospital,healthcare
monthly insurance premium,bills
monthly vip transport,transport
uber accra,transport
monthly kotoka airport,travel
ecg bill,bills
shell petrol,transport
vodafone airtime payment,bills
monthly netflix,entertainment
legon fees payment,education
monthly netflix,entertainment
kfc accra - 494 GHS,food
medical checkup,healthcare
clinic visit payment,healthcare
paid for waakye,food
tamale travel - 376 GHS,travel
monthly ucc payment,education
transport fare payment,travel
jollof - 250 GHS,food
ucc payment,education
monthly library fine,education
kenkey,food
gotv payment,entertainment
vodafone airtime,bills
ridge hospital,healthcare
dstv subscription - 200 GHS,entertainment
paid for uber accra,transport
metro mass payment,transport
paid for tamale travel,travel
paid for tamale travel,travel
cape coast trip payment,travel
monthly vacation expenses,travel
total fuel - 266 GHS,transport
monthly trotro fare,transport
makola market payment,shopping
palace shopping - 245 GHS,shopping
paid for ecg bill,bills
palace shopping payment,shopping
paid for insurance premium,bills
melcom snacks - 290 GHS,food
school fees,education
dstv subscription payment,entertainment
monthly taxi fare,transport
flight to kumasi payment,travel
monthly knust tuition,education
shoprite food - 206 GHS,food
taxi fare payment,transport
shoprite - 365 GHS,shopping
monthly gotv payment,entertainment
paid for textbook purchase,education
tamale travel,travel
vacation expenses payment,travel
kaneshie market - 433 GHS,shopping
movie night,entertainment
rent payment payment,bills
fufu payment,food
monthly ucc payment,education
banku payment,food
concert ticket payment,entertainment
shoprite food payment,food
concert ticket - 271 GHS,entertainment
ridge hospital,healthcare
chop bar - 214 GHS,food
paid for tamale travel,travel
movie night,entertainment
uber accra,transport
kaneshie market,shopping
monthly ecg bill,bills
paid for school fees,education
paid for transport fare,travel
school fees,education
paid for nhis payment,healthcare
insurance premium,bills
paid for transport fare,travel
paid for shoprite,shopping
kotoka airport payment,travel
monthly flight to kumasi,travel
bolt ride payment,transport
silverbird cinema payment,entertainment
bolt ride - 255 GHS,transport
spotify premium payment,entertainment
uber accra,transport
monthly medical checkup,healthcare
paid for melcom,shopping
makola market - 148 GHS,shopping
gotv payment,entertainment
monthly trotro fare,transport
tamale travel - 330 GHS,travel
paid for library fine,education
monthly melcom,shopping
papaye,food
paid for kfc accra,food
paid for banku,food
school fees - 218 GHS,education
movie night payment,entertainment
transport fare,travel
nhis payment,healthcare
paid for knust tuition,education
gwcl water - 325 GHS,bills
monthly airteltigo data,bills
paid for shoprite,shopping
uber accra,transport
chop bar - 446 GHS,food
paid for trotro fare,transport
hotel booking payment,travel
korle bu hospital - 370 GHS,healthcare
kfc accra - 129 GHS,food
monthly uber accra,transport
paid for pharmacy,healthcare
monthly shoprite,shopping
paid for uber accra,transport
monthly gwcl water,bills
west hills mall,shopping
total fuel - 481 GHS,transport
monthly palace shopping,shopping
kotoka airport - 65 GHS,travel
clothing,shopping
monthly shoprite food,food
melcom - 444 GHS,shopping
shell petrol,transport
monthly textbook purchase,education
monthly kotoka airport,travel
ecg bill,bills
knust tuition,education
makola market - 163 GHS,shopping
dstv subscription - 362 GHS,entertainment
paid for shoprite,shopping
kotoka airport,travel
ucc payment payment,education
monthly rent payment,bills
hotel booking payment,travel
nhis payment - 175 GHS,healthcare
monthly insurance premium,bills
monthly shoprite,shopping
paid for melcom,shopping
monthly cape coast trip,travel
trotro fare payment,transport
west hills mall payment,shopping
mtn mobile money - 247 GHS,bills
monthly uber accra,transport
paid for ecg bill,bills
vip transport - 345 GHS,transport
airteltigo data payment,bills
paid for doctor consultation,healthcare
paid for stationery,education
paid for tamale travel,travel
melcom snacks,food
transport fare - 178 GHS,travel
shoprite,shopping
vodafone airtime,bills
vodafone airtime - 77 GHS,bills
doctor consultation,healthcare
shoprite food - 59 GHS,food
ecg bill - 494 GHS,bills
monthly kotoka airport,travel
monthly tamale travel,travel
total fuel payment,transport
gwcl water,bills
trotro fare - 126 GHS,transport
game stores payment,shopping
paid for korle bu hospital,healthcare
monthly silverbird cinema,entertainment
shoprite,shopping
paid for shoprite food,food
monthly tamale travel,travel
monthly insurance premium,bills
trotro fare - 387 GHS,transport
waakye - 327 GHS,food
nhis payment,healthcare
paid for jollof,food
stationery - 383 GHS,education
gwcl water - 142 GHS,bills
goil fuel payment,transport
paid for waakye,food
monthly kaneshie market,shopping
metro mass payment,transport
movie night - 399 GHS,entertainment
fufu - 274 GHS,food
paid for melcom snacks,food
paid for movie night,entertainment
clothing payment,shopping
uber accra - 378 GHS,transport
bolt ride,transport
monthly nhis payment,healthcare
concert ticket - 113 GHS,entertainment
doctor consultation - 156 GHS,healthcare
pharmacy - 128 GHS,healthcare
legon fees payment,education
clothing,shopping
spotify premium - 494 GHS,entertainment
rent payment payment,bills
rent payment payment,bills
gwcl water - 199 GHS,bills
monthly makola market,shopping
paid for cape coast trip,travel
paid for ucc payment,education
gotv payment - 157 GHS,entertainment
paid for clinic visit,healthcare
paid for accra mall,shopping
paid for spotify premium,entertainment
monthly flight to kumasi,travel
vodafone airtime payment,bills
monthly dstv subscription,entertainment
ecg bill - 306 GHS,bills
taxi fare,transport
airteltigo data - 273 GHS,bills
mtn mobile money - 369 GHS,bills
monthly banku,food
paid for textbook purchase,education
monthly ecg bill,bills
paid for textbook purchase,education
paid for pharmacy,healthcare
kotoka airport - 437 GHS,travel
spotify premium - 411 GHS,entertainment
paid for kotoka airport,travel
paid for netflix,entertainment
monthly banku,food
monthly dstv subscription,entertainment
bolt ride - 464 GHS,transport
airteltigo data,bills
paid for silverbird cinema,entertainment
paid for spotify premium,entertainment
monthly goil fuel,transport
dstv subscription payment,entertainment
ridge hospital payment,healthcare
monthly airteltigo data,bills
paid for accra mall,shopping
medical checkup - 463 GHS,healthcare
paid for shoprite food,food
gotv payment payment,entertainment
monthly korle bu hospital,healthcare
medical checkup - 402 GHS,healthcare
monthly insurance premium,bills
movie night - 241 GHS,entertainment
doctor consultation payment,healthcare
nhis payment - 14 GHS,healthcare
paid for banku,food
kfc accra - 53 GHS,food
monthly insurance premium,bills
tamale travel payment,travel
paid for rent payment,bills
taxi fare,transport
knust tuition,education
cape coast trip - 321 GHS,travel
monthly library fine,education
vip transport payment,transport
kotoka airport payment,travel
airteltigo data - 122 GHS,bills
transport fare payment,travel
gwcl water - 100 GHS,bills
transport fare payment,travel
paid for waakye,food
ridge hospital - 287 GHS,healthcare
library fine payment,education
monthly gotv payment,entertainment
local restaurant - 246 GHS,food
paid for textbook purchase,education
monthly clinic visit,healthcare
monthly clothing,shopping
taxi fare payment,transport
shell petrol,transport
flight to kumasi,travel
dstv subscription payment,entertainment
mtn mobile money payment,bills
paid for vacation expenses,travel
ucc payment payment,education
paid for waakye,food
tamale travel,travel
paid for metro mass,transport
monthly school fees,education
paid for insurance premium,bills
paid for vip transport,transport
monthly vodafone airtime,bills
cape coast trip,travel
school fees,education
rent payment,bills
gotv payment payment,entertainment
monthly ridge hospital,healthcare
accra mall payment,shopping
insurance premium,bills
hotel booking payment,travel
korle bu hospital - 185 GHS,healthcare
goil fuel,transport
spotify premium payment,entertainment
netflix,entertainment
local restaurant,food
monthly melcom,shopping
rent payment payment,bills
kotoka airport,travel
trotro fare payment,transport
tamale travel payment,travel
paid for fufu,food
tamale travel - 71 GHS,travel
paid for banku,food
paid for metro mass,transport
hotel booking payment,travel
doctor consultation - 346 GHS,healthcare
monthly pharmacy,healthcare
monthly spotify premium,entertainment
pharmacy,healthcare
flight to kumasi,travel
monthly concert ticket,entertainment
taxi fare payment,transport
uber accra,transport
chop bar,food
cape coast trip - 473 GHS,travel
ucc payment - 472 GHS,education
library fine - 217 GHS,education
silverbird cinema,entertainment
knust tuition,education
textbook purchase,education
accra mall,shopping
monthly shoprite food,food
monthly vodafone airtime,bills
bolt ride - 129 GHS,transport
rent payment - 254 GHS,bills
monthly game stores,shopping
monthly total fuel,transport
monthly melcom snacks,food
monthly game stores,shopping
monthly nhis payment,healthcare
transport fare payment,travel
school fees payment,education
concert ticket payment,entertainment
school fees - 32 GHS,education
legon fees payment,education
medical checkup - 314 GHS,healthcare
paid for transport fare,travel
flight to kumasi,travel
paid for mtn mobile money,bills
paid for transport fare,travel
netflix payment,entertainment
accra mall,shopping
textbook purchase - 163 GHS,education
ridge hospital - 308 GHS,healthcare
paid for shoprite,shopping
monthly dstv subscription,entertainment
monthly spotify premium,entertainment
monthly library fine,education
medical checkup - 393 GHS,healthcare
local restaurant,food
paid for fufu,food
kfc accra payment,food
monthly banku,food
kenkey - 33 GHS,food
kaneshie market,shopping
paid for ridge hospital,healthcare
paid for medical checkup,healthcare
shoprite food payment,food
paid for ucc payment,education
paid for dstv subscription,entertainment
spotify premium,entertainment
waakye,food
pharmacy payment,healthcare
netflix payment,entertainment
tamale travel,travel
silverbird cinema - 376 GHS,entertainment
monthly nhis payment,healthcare
shs bus - 291 GHS,transport
shell petrol payment,transport
paid for clothing,shopping
hotel booking,travel
monthly mtn mobile money,bills
banku,food
kaneshie market,shopping
movie night,entertainment
monthly flight to kumasi,travel
monthly kotoka airport,travel
paid for doctor consultation,healthcare
medical checkup payment,healthcare
paid for korle bu hospital,healthcare
monthly rent payment,bills
paid for ucc payment,education
silverbird cinema,entertainment
paid for library fine,education
paid for shoprite food,food
paid for transport fare,travel
palace shopping - 421 GHS,shopping
airteltigo data payment,bills
pharmacy - 148 GHS,healthcare
ucc payment payment,education
paid for taxi fare,transport
monthly fufu,food
gotv payment,entertainment
spotify premium,entertainment
paid for transport fare,travel
textbook purchase,education
bolt ride - 187 GHS,transport
clinic visit payment,healthcare
trotro fare - 463 GHS,transport
insurance premium,bills
banku,food
netflix - 30 GHS,entertainment
rent payment payment,bills
kfc accra payment,food
monthly stationery,education
bolt ride - 376 GHS,transport
paid for gwcl water,bills
paid for korle bu hospital,healthcare
goil fuel - 447 GHS,transport
gotv payment - 234 GHS,entertainment
west hills mall,shopping
silverbird cinema payment,entertainment
monthly concert ticket,entertainment
kotoka airport - 458 GHS,travel
monthly vip transport,transport
school fees - 448 GHS,education
nhis payment - 489 GHS,healthcare
shoprite food payment,food
textbook purchase payment,education
vacation expenses payment,travel
monthly gwcl water,bills
flight to kumasi,travel
paid for doctor consultation,healthcare
kfc accra,food
nhis payment payment,healthcare
monthly stationery,education
paid for rent payment,bills
paid for metro mass,transport
melcom payment,shopping
dstv subscription - 351 GHS,entertainment
paid for game stores,shopping
monthly mtn mobile money,bills
library fine - 451 GHS,education
airteltigo data payment,bills
monthly mtn mobile money,bills
taxi fare payment,transport
paid for nhis payment,healthcare
silverbird cinema payment,entertainment
makola market - 356 GHS,shopping
kaneshie market,shopping
hotel booking payment,travel
knust tuition - 407 GHS,education
tamale travel - 193 GHS,travel
insurance premium payment,bills
goil fuel payment,transport
monthly ecg bill,bills
west hills mall payment,shopping
ucc payment,education
nhis payment,healthcare
trotro fare payment,transport
bolt ride payment,transport
monthly clothing,shopping
shs bus payment,transport
pharmacy,healthcare
monthly clothing,shopping
monthly ucc payment,education
dstv subscription payment,entertainment
rent payment payment,bills
kotoka airport - 404 GHS,travel
vacation expenses,travel
monthly cape coast trip,travel
tamale travel,travel
monthly stationery,education
airteltigo data,bills
ridge hospital payment,healthcare
ucc payment,education
gwcl water,bills
paid for legon fees,education
monthly korle bu hospital,healthcare
clinic visit - 480 GHS,healthcare
paid for school fees,education
chop bar payment,food
monthly textbook purchase,education
paid for mtn mobile money,bills
kaneshie market - 149 GHS,shopping
monthly vodafone airtime,bills
taxi fare - 265 GHS,transport
taxi fare payment,transport
monthly melcom,shopping
waakye,food
shs bus payment,transport
ucc payment,education
gwcl water - 107 GHS,bills
monthly silverbird cinema,entertainment
paid for korle bu hospital,healthcare
monthly school fees,education
cape coast trip payment,travel
monthly netflix,entertainment
local restaurant,food
monthly doctor consultation,healthcare
paid for clothing,shopping
nhis payment payment,healthcare
gwcl water,bills
metro mass - 438 GHS,transport
cape coast trip payment,travel
tamale travel,travel
airteltigo data,bills
silverbird cinema - 293 GHS,entertainment
insurance premium,bills
legon fees payment,education
paid for clinic visit,healthcare
pharmacy - 140 GHS,healthcare
paid for uber accra,transport
concert ticket,entertainment
total fuel payment,transport
vodafone airtime payment,bills
metro mass payment,transport
monthly kfc accra,food
gotv payment payment,entertainment
ecg bill payment,bills
knust tuition - 296 GHS,education
textbook purchase,education
paid for vodafone airtime,bills
monthly korle bu hospital,healthcare
concert ticket payment,entertainment
flight to kumasi - 252 GHS,travel
silverbird cinema payment,entertainment
monthly palace shopping,shopping
knust tuition payment,education
monthly local restaurant,food
insurance premium - 467 GHS,bills
pharmacy payment,healthcare
gwcl water,bills
textbook purchase payment,education
stationery - 99 GHS,education
shoprite payment,shopping
stationery - 471 GHS,education
monthly local restaurant,food
shoprite,shopping
ucc payment - 99 GHS,education
monthly papaye,food
vacation expenses - 341 GHS,travel
hotel booking - 276 GHS,travel
chop bar payment,food
gwcl water - 399 GHS,bills
paid for gwcl water,bills
ridge hospital,healthcare
knust tuition - 421 GHS,education
shell petrol - 212 GHS,transport
monthly vacation expenses,travel
monthly nhis payment,healthcare
palace shopping,shopping
paid for waakye,food
paid for nhis payment,healthcare
monthly ridge hospital,healthcare
gwcl water,bills
monthly cape coast trip,travel
palace shopping - 129 GHS,shopping
monthly bolt ride,transport
papaye payment,food
melcom,shopping
paid for papaye,food
paid for netflix,entertainment
rent payment,bills
goil fuel - 373 GHS,transport
melcom snacks - 368 GHS,food
knust tuition - 95 GHS,education
monthly transport fare,travel
monthly medical checkup,healthcare
vip transport,transport
paid for palace shopping,shopping
paid for shs bus,transport
kfc accra - 33 GHS,food
melcom,shopping
west hills mall - 219 GHS,shopping
movie night - 280 GHS,entertainment
silverbird cinema payment,entertainment
transport fare,travel
monthly airteltigo data,bills
paid for shell petrol,transport
bolt ride,transport
medical checkup payment,healthcare
waakye - 323 GHS,food
ecg bill payment,bills
ucc payment,education
monthly kaneshie market,shopping
paid for rent payment,bills
monthly vip transport,transport
spotify premium,entertainment
kaneshie market payment,shopping
paid for legon fees,education
paid for flight to kumasi,travel
paid for library fine,education
monthly tamale travel,travel
pharmacy payment,healthcare
paid for transport fare,travel
shoprite food - 307 GHS,food
paid for taxi fare,transport
palace shopping payment,shopping
vacation expenses,travel
ucc payment payment,education
paid for ecg bill,bills
paid for clothing,shopping
monthly doctor consultation,healthcare
vip transport - 44 GHS,transport
vip transport,transport
paid for doctor consultation,healthcare
vacation expenses - 320 GHS,travel
monthly nhis payment,healthcare
goil fuel,transport
monthly taxi fare,transport
monthly ecg bill,bills
dstv subscription,entertainment
west hills mall payment,shopping
monthly insurance premium,bills
paid for transport fare,travel
total fuel,transport
paid for vodafone airtime,bills
paid for kotoka airport,travel
paid for jollof,food
vacation expenses payment,travel
netflix - 115 GHS,entertainment
gwcl water payment,bills
palace shopping - 196 GHS,shopping
school fees,education
monthly vodafone airtime,bills
paid for korle bu hospital,healthcare
monthly pharmacy,healthcare
mtn mobile money - 461 GHS,bills
tamale travel payment,travel
paid for legon fees,education
jollof - 433 GHS,food
accra mall - 84 GHS,shopping
airteltigo data - 374 GHS,bills
monthly tamale travel,travel
monthly tamale travel,travel
kotoka airport - 131 GHS,travel
fufu,food
clothing payment,shopping
pharmacy payment,healthcare
trotro fare payment,transport
kfc accra - 471 GHS,food
movie night payment,entertainment
concert ticket payment,entertainment
bolt ride payment,transport
accra mall - 464 GHS,shopping
korle bu hospital payment,healthcare
goil fuel,transport
paid for bolt ride,transport
kfc accra - 276 GHS,food
monthly cape coast trip,travel
monthly cape coast trip,travel
west hills mall,shopping
nhis payment,healthcare
west hills mall - 252 GHS,shopping
spotify premium,entertainment
doctor consultation,healthcare
ucc payment payment,education
fufu - 131 GHS,food
flight to kumasi payment,travel
monthly doctor consultation,healthcare
kenkey - 40 GHS,food
paid for gotv payment,entertainment
bolt ride payment,transport
monthly movie night,entertainment
monthly concert ticket,entertainment
gwcl water,bills
local restaurant - 205 GHS,food
monthly legon fees,education
monthly dstv subscription,entertainment
waakye payment,food
palace shopping - 430 GHS,shopping
monthly game stores,shopping
monthly concert ticket,entertainment
doctor consultation - 176 GHS,healthcare
kfc accra - 484 GHS,food
spotify premium payment,entertainment
paid for west hills mall,shopping
ridge hospital - 48 GHS,healthcare
paid for gotv payment,entertainment
rent payment - 258 GHS,bills
rent payment - 332 GHS,bills
paid for korle bu hospital,healthcare
paid for clinic visit,healthcare
paid for concert ticket,entertainment
taxi fare payment,transport
vodafone airtime,bills
flight to kumasi,travel
paid for legon fees,education
monthly ecg bill,bills
game stores,shopping
library fine,education
papaye,food
ridge hospital - 209 GHS,healthcare
monthly ucc payment,education
paid for pharmacy,healthcare
uber accra - 461 GHS,transport
paid for textbook purchase,education
paid for stationery,education
gotv payment payment,entertainment
clothing payment,shopping
monthly textbook purchase,education
paid for chop bar,food
textbook purchase,education
monthly concert ticket,entertainment
netflix - 25 GHS,entertainment
paid for papaye,food
ecg bill - 44 GHS,bills
makola market payment,shopping
monthly metro mass,transport
tamale travel,travel
medical checkup,healthcare
paid for hotel booking,travel
shs bus - 469 GHS,transport
paid for spotify premium,entertainment
paid for clothing,shopping
local restaurant,food
nhis payment payment,healthcare
pharmacy,healthcare
paid for vodafone airtime,bills
vip transport payment,transport
monthly kfc accra,food
vodafone airtime - 81 GHS,bills
paid for nhis payment,healthcare
ucc payment payment,education
monthly cape coast trip,travel
local restaurant,food
kotoka airport payment,travel
paid for pharmacy,healthcare
monthly accra mall,shopping
paid for shs bus,transport
silverbird cinema - 347 GHS,entertainment
dstv subscription - 452 GHS,entertainment
knust tuition payment,education
silverbird cinema payment,entertainment
clinic visit,healthcare
fufu payment,food
paid for tamale travel,travel
fufu - 23 GHS,food
monthly concert ticket,entertainment
insurance premium,bills
library fine payment,education
monthly palace shopping,shopping
kaneshie market payment,shopping
taxi fare payment,transport
kotoka airport payment,travel
paid for palace shopping,shopping
spotify premium - 403 GHS,entertainment
ridge hospital payment,healthcare
ecg bill payment,bills
dstv subscription,entertainment
hotel booking payment,travel
monthly vacation expenses,travel
hotel booking,travel
monthly melcom,shopping
paid for flight to kumasi,travel
monthly netflix,entertainment
paid for textbook purchase,education
medical checkup payment,healthcare
monthly shoprite,shopping
kaneshie market,shopping
library fine,education
papaye payment,food
textbook purchase payment,education
tamale travel payment,travel
transport fare - 197 GHS,travel
uber accra payment,transport
tamale travel payment,travel
silverbird cinema payment,entertainment
local restaurant - 24 GHS,food
monthly concert ticket,entertainment
paid for rent payment,bills
monthly gotv payment,entertainment
insurance premium payment,bills
textbook purchase,education
nhis payment,healthcare
transport fare,travel
monthly palace shopping,shopping
gotv payment payment,entertainment
paid for ecg bill,bills
kfc accra - 473 GHS,food
clinic visit,healthcare
paid for kaneshie market,shopping
spotify premium - 207 GHS,entertainment
accra mall - 465 GHS,shopping
vacation expenses - 118 GHS,travel
tamale travel payment,travel
kotoka airport - 208 GHS,travel
melcom snacks,food
flight to kumasi - 470 GHS,travel
paid for spotify premium,entertainment
paid for shoprite,shopping
ecg bill,bills
doctor consultation payment,healthcare
goil fuel - 423 GHS,transport
textbook purchase payment,education
monthly kenkey,food
banku payment,food
dstv subscription,entertainment
silverbird cinema payment,entertainment
paid for dstv subscription,entertainment
monthly nhis payment,healthcare
paid for banku,food
monthly textbook purchase,education
medical checkup,healthcare
